name,iter,initial_cost,final_cost,compression,total time,time without last rd,mem
logo_logo_batch_50_1h_ellisk_2019-03-23T14.13.04,bench000_it0.json,603,456,1.3223684210526316,1935.33,1316.195,6177316
logo_logo_batch_50_1h_ellisk_2019-03-23T14.13.04,bench001_it8.json,1597,1154,1.3838821490467939,6462.0,4799.292,9120260
logo_logo_batch_50_1h_ellisk_2019-03-23T14.16.56,bench000_it0.json,845,579,1.459412780656304,3314.66,2365.119,5254824
logo_logo_batch_50_1h_ellisk_2019-03-23T14.16.56,bench001_it2.json,935,811,1.152897657213317,1212.51,835.411,1464568
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46,bench000_it0.json,568,521,1.09021113243762,978.16,661.665,1490528
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46,bench001_it1.json,475,474,1.0021097046413503,395.27,207.477,903832
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46,bench002_it2.json,439,439,1.0,193.19,79.733,311008
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46,bench003_it3.json,528,533,0.9906191369606003,565.92,293.351,910860
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46,bench004_it4.json,522,538,0.9702602230483272,566.31,280.932,1163656
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34,bench000_it0.json,601,571,1.052539404553415,1183.86,803.099,1798192
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34,bench001_it1.json,491,491,1.0,411.63,219.688,675632
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34,bench002_it2.json,450,457,0.9846827133479212,178.78,70.048,620908
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34,bench003_it3.json,434,432,1.0046296296296295,165.99,61.796,366448
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34,bench004_it4.json,508,509,0.9980353634577603,398.3,208.847,870460
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34,bench005_it5.json,519,526,0.9866920152091255,221.9,81.77,793960
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34,bench006_it7.json,528,533,0.9906191369606003,197.76,78.936,543020
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.13.12,bench000_it0.json,568,540,1.0518518518518518,764.11,497.053,1107500
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.13.12,bench001_it1.json,506,509,0.9941060903732809,378.77,200.081,725980
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.16.45,bench000_it0.json,568,491,1.1568228105906313,848.26,565.34,1347196
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.16.45,bench001_it1.json,577,583,0.9897084048027445,1007.12,657.619,1399544
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.20.13,bench000_it0.json,659,589,1.1188455008488964,1543.35,1099.167,1902624
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.20.13,bench001_it1.json,464,464,1.0,173.78,58.641,559216
text_text_ellisk_2019-01-24T21.49.39,bench000_it0.json,132,131,1.0076335877862594,116.61,72.883,496828
text_text_ellisk_2019-01-24T21.49.39,bench001_it1.json,195,184,1.059782608695652,141.56,81.76,591868
text_text_ellisk_2019-01-24T21.49.39,bench002_it2.json,211,200,1.055,70.67,32.219,477724
text_text_ellisk_2019-01-24T21.49.39,bench003_it3.json,297,301,0.9867109634551495,246.01,145.21,997624
text_text_ellisk_2019-01-24T21.49.39,bench004_it4.json,371,369,1.005420054200542,493.65,296.83700000000005,1652196
text_text_ellisk_2019-01-24T21.49.39,bench005_it5.json,390,379,1.029023746701847,259.66,145.473,1565732
text_text_ellisk_2019-01-24T21.49.39,bench006_it6.json,446,442,1.009049773755656,200.25,81.762,1321236
text_text_ellisk_2019-01-24T21.49.39,bench007_it7.json,481,476,1.0105042016806722,207.15,86.897,1234080
text_text_ellisk_2019-01-24T21.49.39,bench008_it9.json,605,597,1.0134003350083751,215.17,86.586,1246936
text_text_ellisk_2019-01-24T21.49.39,bench009_it10.json,652,650,1.003076923076923,198.9,78.159,1421652
text_text_ellisk_2019-01-24T21.49.39,bench010_it15.json,743,736,1.0095108695652173,211.24,85.219,1401388
text_text_ellisk_2019-01-24T21.53.45,bench000_it0.json,95,89,1.0674157303370786,148.47,99.814,389132
text_text_ellisk_2019-01-24T21.53.45,bench001_it4.json,304,299,1.0167224080267558,96.96,42.618,634472
text_text_ellisk_2019-01-24T21.53.45,bench002_it5.json,329,337,0.9762611275964391,96.39,58.319,1442760
text_text_ellisk_2019-01-24T21.53.45,bench003_it6.json,364,365,0.9972602739726028,111.42,58.007,402660
text_text_ellisk_2019-01-24T21.53.45,bench004_it7.json,371,366,1.0136612021857923,68.27,26.147,342416
text_text_ellisk_2019-01-24T21.53.45,bench005_it8.json,398,394,1.0101522842639594,73.91,29.578,336048
text_text_ellisk_2019-01-24T21.53.45,bench006_it10.json,477,471,1.0127388535031847,91.94,37.873,398132
text_text_ellisk_2019-01-24T21.53.45,bench007_it12.json,524,518,1.0115830115830116,86.91,34.12,413996
text_text_ellisk_2019-01-24T21.53.45,bench008_it18.json,632,613,1.030995106035889,221.96,118.662,507772
text_text_ellisk_2019-01-24T21.58.02,bench000_it0.json,100,99,1.0101010101010102,42.75,18.235,214392
text_text_ellisk_2019-01-24T21.58.02,bench001_it1.json,138,133,1.037593984962406,40.97,19.708,201288
text_text_ellisk_2019-01-24T21.58.02,bench002_it2.json,186,172,1.0813953488372092,48.79,27.278,107148
text_text_ellisk_2019-01-24T21.58.02,bench003_it4.json,327,325,1.0061538461538462,132.17,79.598,469584
text_text_ellisk_2019-01-24T21.58.02,bench004_it5.json,395,385,1.025974025974026,429.51,281.385,2057992
text_text_ellisk_2019-01-24T21.58.02,bench005_it6.json,439,436,1.0068807339449541,232.47,130.598,2889032
text_text_ellisk_2019-01-24T21.58.02,bench006_it7.json,520,509,1.0216110019646365,372.49,217.252,2087644
text_text_ellisk_2019-01-24T21.58.02,bench007_it8.json,547,545,1.003669724770642,220.98,95.031,2142064
text_text_ellisk_2019-01-24T21.58.02,bench008_it9.json,588,589,0.99830220713073,292.3,158.541,2179404
text_text_ellisk_2019-01-24T21.58.02,bench009_it10.json,628,623,1.0080256821829856,204.88,81.695,2045060
